id,first_name,second_name,element_type,now_cost,minutes,total_points
574,Destiny,Udogie,2,44,605,13
575,Micky,van de Ven,2,46,1429,65
576,Ashley,Phillips,2,40,0,0
577,Takai,Kōta,2,40,0,0
578,Luka,Vušković,2,39,0,0
579,Son,Heung-min,3,85,0,0
580,Brennan,Johnson,3,65,597,33
581,James,Maddison,3,68,0,0
582,Mohammed,Kudus,3,64,1343,68
583,Dejan,Kulusevski,3,64,0,0
584,Mathys,Tel,3,62,274,29
585,Rodrigo,Bentancur,3,53,1052,49
586,Lucas,Bergvall,3,53,662,33
587,Yves,Bissouma,3,52,0,0
588,Wilson,Odobert,3,53,509,25
589,Manor,Solomon,3,54,0,0
590,Bryan,Gil Salvatierra,3,49,0,0
591,Archie,Gray,3,48,351,10
592,Mikey,Moore,3,50,0,0
593,Pape Matar,Sarr,3,46,703,42
594,Yang,Min-hyeok,3,45,0,0
595,Callum,Olusesi,3,43,0,0
596,Dominic,Solanke-Mitchell,4,72,31,2
597,Richarlison,de Andrade,4,64,983,65
598,Will,Lankshear,4,45,0,0
599,Dane,Scarlett,4,43,0,0
673,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,3,55,1085,66
717,Xavi,Simons,3,65,830,39
726,Randal,Kolo Muani,4,69,610,16
745,Jun'ai,Byfield,2,40,0,0
750,James,Rowswell,2,40,0,0
751,Yusuf,Akhamrich,3,45,0,0
149,Igor Julio,dos Santos de Paulo,2,45,103,6
600,Alphonse,Areola,1,43,1170,35
601,Wes,Foderingham,1,40,0,0
602,Krisztián,Hegyi,1,39,0,0
603,El Hadji Malick,Diouf,2,40,1387,44
604,Emerson,Palmieri dos Santos,2,44,0,0
605,Maximilian,Kilman,2,42,1263,29
606,Konstantinos,Mavropanos,2,44,866,30
607,Nayef,Aguerd,2,44,180,3
608,Ollie,Scarles,2,43,132,2
609,Jean-Clair,Todibo,2,43,1026,21
610,Aaron,Wan-Bissaka,2,42,1011,25
611,Kaelan,Casey,2,40,0,0
612,Lucas,Tolentino Coelho de Lima,3,59,1288,51
613,Tomáš,Souček,3,57,566,33
614,James,Ward-Prowse,3,56,414,11
615,Crysencio,Summerville,3,55,875,30
616,Edson,Álvarez Velázquez,3,49,0,0
617,Maxwel,Cornet,3,49,0,0
618,Guido,Rodríguez,3,48,164,7
619,Luis Guilherme,Lira dos Santos,3,49,121,5
620,George,Earthy,3,45,0,0
621,Andy,Irving,3,43,156,9
622,Lewis,Orford,3,44,0,0
623,Freddie,Potts,3,44,732,23
624,Jarrod,Bowen,4,76,1530,75
625,Niclas,Füllkrug,4,56,407,12
626,Callum,Marshall,4,43,58,2
659,Kyle,Walker-Peters,2,42,600,24
671,Callum,Wilson,4,58,617,44
679,Mads,Hermansen,1,43,360,9
708,Mateus Gonçalo,Espanha Fernandes,3,55,1144,54
718,Soungoutou,Magassa,3,50,524,25
738,Lukasz,Fabianski,1,45,0,0
747,Ezra,Mayers,2,40,33,2
752,Airidas,Golambeckis,2,40,0,0
758,Mohamadou,Kanté,3,45,9,2
627,Sam,Johnstone,1,44,1080,21
628,José,Malheiro de Sá,1,42,450,7
629,Daniel,Bentley,1,39,0,0
631,Emmanuel,Agbadou,2,43,1010,20
632,Matt,Doherty,2,44,448,8
633,Hugo,Bueno López,2,43,827,24
634,Yerson,Mosquera Valdelamar,2,43,518,2
635,Rodrigo,Martins Gomes,2,44,331,13
636,Santiago,Ignacio Bueno,2,44,754,28
637,Toti,Gomes,2,42,949,20
638,Ki-Jana,Hoever,2,38,423,10
639,Bastien,Meupiyou Menadjou,2,40,0,0
640,Pedro,Cardoso de Lima,2,40,0,0
641,Alfie,Pond,2,39,0,0
642,Hwang,Hee-chan,3,56,581,20
643,André,Trindade da Costa Neto,3,53,1243,42
644,Jean-Ricner,Bellegarde,3,52,685,25
645,Fer,López González,3,52,226,11
646,João Victor,Gomes da Silva,3,53,1279,38
647,Gonçalo Manuel,Ganchinho Guedes,3,55,0,0
648,Marshall,Munetsi,3,53,872,38
649,Boubacar,Traoré,3,50,0,0
650,Tawanda,Chirewa,3,43,21,1
651,Tom,Edozie,3,43,0,0
652,Enso,González Medina,3,43,0,0
653,Joe,Hodge,3,45,0,0
654,Jørgen,Strand Larsen,4,61,1203,30
655,Fábio,Soares Silva,4,49,0,0
656,Saša,Kalajdžić,4,49,14,1
657,Leon,Chiwome,4,44,0,0
658,Nathan,Fraser,4,43,0,0
663,Jhon,Arias,3,49,807,27
682,David,Møller Wolfe,2,43,672,17
695,Jackson,Tchatchoua,2,45,803,21
709,Ladislav,Krejcí,2,45,1053,22
720,Tolu,Arokodare,4,54,335,21
749,Mateus,Mané,4,45,91,9
766,Saheed,Olagunju,2,40,0,0
767,Luke,Rawlings,3,45,0,0
